Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"10043","CVE-1999-0103","5.0","Medium","192.168.108.15","udp","19","Chargen UDP Service Remote DoS","The remote host is running a 'chargen' service.","When contacted, chargen responds with some random characters (something
like all the characters in the alphabet in a row). When contacted via UDP, it
will respond with a single UDP packet. When contacted via TCP, it will
continue spewing characters until the client closes the connection.

The purpose of this service was to mostly test the TCP/IP protocol
by itself, to make sure that all the packets were arriving at their
destination unaltered. It is unused these days, so it is suggested
you disable it, as an attacker may use it to set up an attack against
this host, or against a third-party host using this host as a relay.

An easy attack is 'ping-pong' in which an attacker spoofs a packet between
two machines running chargen. This will cause them to spew characters at
each other, slowing the machines down and saturating the network.","- Under Unix systems, comment out the 'chargen' line in /etc/inetd.conf
  and restart the inetd process

- Under Windows systems, set the following registry keys to 0 :
  HKLM\System\CurrentControlSet\Services\SimpTCP\Parameters\EnableTcpChargen
  HKLM\System\CurrentControlSet\Services\SimpTCP\Parameters\EnableUdpChargen

 Then launch cmd.exe and type :

   net stop simptcp
   net start simptcp

To restart the service.","http://www.nessus.org/u?f0dbdf05",""
"10052","","","None","192.168.108.15","tcp","13","Daytime Service Detection","A daytime service is running on the remote host.","The remote host is running a 'daytime' service.  This service is
designed to give the local time of the day of this host to whoever
connects to this port. 
 
The date format issued by this service may sometimes help an attacker
to guess the operating system type of this host, or to set up timed
authentication attacks against the remote host. 

In addition, if the daytime service is running on a UDP port, an
attacker may link it to the echo port of a third-party host using
spoofing, thus creating a possible denial of service condition between
this host and the third party.","- On Unix systems, comment out the 'daytime' line in /etc/inetd.conf
  and restart the inetd process.
 
- On Windows systems, set the following registry keys to 0 :
  HKLM\System\CurrentControlSet\Services\SimpTCP\Parameters\EnableTcpDaytime
  HKLM\System\CurrentControlSet\Services\SimpTCP\Parameters\EnableUdpDaytime
   
Next, launch cmd.exe and type :

   net stop simptcp
   net start simptcp
   
This will restart the service.","",""
"10052","","","None","192.168.108.15","udp","13","Daytime Service Detection","A daytime service is running on the remote host.","The remote host is running a 'daytime' service.  This service is
designed to give the local time of the day of this host to whoever
connects to this port. 
 
The date format issued by this service may sometimes help an attacker
to guess the operating system type of this host, or to set up timed
authentication attacks against the remote host. 

In addition, if the daytime service is running on a UDP port, an
attacker may link it to the echo port of a third-party host using
spoofing, thus creating a possible denial of service condition between
this host and the third party.","- On Unix systems, comment out the 'daytime' line in /etc/inetd.conf
  and restart the inetd process.
 
- On Windows systems, set the following registry keys to 0 :
  HKLM\System\CurrentControlSet\Services\SimpTCP\Parameters\EnableTcpDaytime
  HKLM\System\CurrentControlSet\Services\SimpTCP\Parameters\EnableUdpDaytime
   
Next, launch cmd.exe and type :

   net stop simptcp
   net start simptcp
   
This will restart the service.","",""
"10061","CVE-1999-0103","","None","192.168.108.15","tcp","7","Echo Service Detection","An echo service is running on the remote host.","The remote host is running the 'echo' service. This service 
echoes any data which is sent to it. 
 
This service is unused these days, so it is strongly advised that
you disable it, as it may be used by attackers to set up denial of
services attacks against this host.","- Under Unix systems, comment out the 'echo' line in /etc/inetd.conf
  and restart the inetd process
 
- Under Windows systems, set the following registry key to 0 :
  HKLM\System\CurrentControlSet\Services\SimpTCP\Parameters\EnableTcpEcho
  HKLM\System\CurrentControlSet\Services\SimpTCP\Parameters\EnableUdpEcho
   
Then launch cmd.exe and type :

   net stop simptcp
   net start simptcp
   
To restart the service.","",""
"10061","CVE-1999-0103","","None","192.168.108.15","udp","7","Echo Service Detection","An echo service is running on the remote host.","The remote host is running the 'echo' service. This service 
echoes any data which is sent to it. 
 
This service is unused these days, so it is strongly advised that
you disable it, as it may be used by attackers to set up denial of
services attacks against this host.","- Under Unix systems, comment out the 'echo' line in /etc/inetd.conf
  and restart the inetd process
 
- Under Windows systems, set the following registry key to 0 :
  HKLM\System\CurrentControlSet\Services\SimpTCP\Parameters\EnableTcpEcho
  HKLM\System\CurrentControlSet\Services\SimpTCP\Parameters\EnableUdpEcho
   
Then launch cmd.exe and type :

   net stop simptcp
   net start simptcp
   
To restart the service.","",""
"10061","CVE-1999-0635","","None","192.168.108.15","tcp","7","Echo Service Detection","An echo service is running on the remote host.","The remote host is running the 'echo' service. This service 
echoes any data which is sent to it. 
 
This service is unused these days, so it is strongly advised that
you disable it, as it may be used by attackers to set up denial of
services attacks against this host.","- Under Unix systems, comment out the 'echo' line in /etc/inetd.conf
  and restart the inetd process
 
- Under Windows systems, set the following registry key to 0 :
  HKLM\System\CurrentControlSet\Services\SimpTCP\Parameters\EnableTcpEcho
  HKLM\System\CurrentControlSet\Services\SimpTCP\Parameters\EnableUdpEcho
   
Then launch cmd.exe and type :

   net stop simptcp
   net start simptcp
   
To restart the service.","",""
"10061","CVE-1999-0635","","None","192.168.108.15","udp","7","Echo Service Detection","An echo service is running on the remote host.","The remote host is running the 'echo' service. This service 
echoes any data which is sent to it. 
 
This service is unused these days, so it is strongly advised that
you disable it, as it may be used by attackers to set up denial of
services attacks against this host.","- Under Unix systems, comment out the 'echo' line in /etc/inetd.conf
  and restart the inetd process
 
- Under Windows systems, set the following registry key to 0 :
  HKLM\System\CurrentControlSet\Services\SimpTCP\Parameters\EnableTcpEcho
  HKLM\System\CurrentControlSet\Services\SimpTCP\Parameters\EnableUdpEcho
   
Then launch cmd.exe and type :

   net stop simptcp
   net start simptcp
   
To restart the service.","",""
"10073","CVE-1999-0105","5.0","Medium","192.168.108.15","tcp","79","Finger Recursive Request Arbitrary Site Redirection","It is possible to use the remote host to perform third-party host
scans.","The remote finger service accepts redirect requests.  That is, users
can perform requests like :

		finger user@host@victim

This allows an attacker to use this computer as a relay to gather
information on a third-party network.  In addition, this type of
syntax can be used to create a denial of service condition on the
remote host.","Disable the remote finger daemon (comment out the 'finger' line in
/etc/inetd.conf and restart the inetd process) or upgrade it to a more
secure one.","",""
"10073","CVE-1999-0106","5.0","Medium","192.168.108.15","tcp","79","Finger Recursive Request Arbitrary Site Redirection","It is possible to use the remote host to perform third-party host
scans.","The remote finger service accepts redirect requests.  That is, users
can perform requests like :

		finger user@host@victim

This allows an attacker to use this computer as a relay to gather
information on a third-party network.  In addition, this type of
syntax can be used to create a denial of service condition on the
remote host.","Disable the remote finger daemon (comment out the 'finger' line in
/etc/inetd.conf and restart the inetd process) or upgrade it to a more
secure one.","",""
"10092","","","None","192.168.108.15","tcp","21","FTP Server Detection","An FTP server is listening on a remote port.","It is possible to obtain the banner of the remote FTP server by
connecting to a remote port.","n/a","","
The remote FTP banner is :

220-FileZilla Server version 0.9.30 beta
220-written by Tim Kosse (Tim.Kosse@gmx.de)
220 Please visit http://sourceforge.net/projects/filezilla/
"
